#	4564
##971	1
#001	1
#001027	1
#004	1
#01	3
#02	3
#03	1
#04	1
#05	1
#06	2
#07	1
#08	2
#09	2
#1	243
#10	67
#100	13
#10014	3
#1003	1
#1006	1
#1008	3
#101	6
#102	4
#1022	2
#1027	1
#1029	2
#103	2
#104	8
#105	1
#106	9
#107	8
#108	5
#1084	1
#11	38
#111	3
#1116	1
#112	4
#113	5
#115	12
#116	5
#117	5
#118	8
#1182	1
#1185	1
#119	5
#12	42
#120	5
#121	4
#122	2
#123	5
#124	6
#125	12
#126	20
#1265	1
#127	5
#128	4
#129	16
#13	34
#130	4
#131	8
#132	7
#133	1
#134	2
#1345	1
#135	5
#136	5
#137	5
#138	16
#139	10
#14	45
#140	4
#141	10
#142	5
#143	4
#144	4
#145	3
#146	12
#147	9
#148	11
#149	14
#15	44
#150	15
#1504	1
#152	4
#153	4
#154	6
#155	6
#156	5
#157	8
#158	4
#159	11
#16	37
#160	9
#161	2
#162	1
#163	11
#164	2
#165	3
#1659	1
#166	13
#167	5
#168	2
#169	7
#17	25
#171	9
#172	3
#174	5
#175	6
#176	6
#177	5
#178	5
#179	4
#18	23
#180	4
#181	13
#182	14
#183	4
#184	16
#185	24
#186	9
#188	18
#189	3
#19	24
#1904	1
#191	1
#192	3
#193	16
#194	12
#195	3
#196	27
#197	2
#1971	1
#198	12
#199	5
#1992	1
#2	235
#20	16
#200	3
#201	7
#2018	1
#202	6
#203	10
#204	6
#205	6
#206	11
#207	8
#208	6
#209	9
#21	25
#210	12
#211	3
#2116	1
#212	5
#213	5
#214	4
#215	10
#2157	1
#216	14
#2160	1
#2165	1
#217	1
#218	14
#219	12
#22	31
#220	9
#222	6
#223	12
#224	1
#225	3
#226	2
#227	5
#228	7
#229	8
#23	15
#230	9
#231	5
#232	9
#233	5
#234	12
#235	3
#236	6
#238	5
#239	8
#24	27
#240	9
#241	2
#243	9
#244	16
#245	4
#246	1
#248	1
#249	2
#25	12
#250	8
#2507	1
#251	3
#252	7
#253	10
#254	10
#255	10
#256	2
#257	14
#258	7
#259	8
#26	24
#260	4
#261	7
#262	3
#26241	1
#263	12
#264	4
#265	9
#266	18
#267	16
#268	1
#269	10
#27	19
#270	9
#271	4
#272	9
#273	4
#275	1
#276	3
#278	21
#279	7
#28	16
#280	10
#281	9
#282	8
#283	3
#284	5
#285	4
#286	1
#287	4
#288	3
#289	1
#29	14
#290	2
#291	6
#292	3
#293	7
#294	5
#295	1
#296	10
#297	9
#298	21
#299	6
#3	159
#30	12
#300	9
#302	7
#303	8
#304	1
#305	2
#306	1
#307	11
#308	8
#309	4
#31	18
#310	3
#311	4
#312	10
#313	7
#314	5
#317	3
#319	1
#32	14
#321	2
#322	3
#323	8
#324	16
#325	4
#326	3
#327	3
#328	6
#329	1
#33	14
#330	2
#331	11
#332	1
#333	17
#334	1
#335	11
#336	2
#337	7
#338	3
#339	2
#34	22
#340	5
#341	4
#342	8
#343	5
#344	1
#345	8
#346	10
#347	14
#348	6
#3481	1
#349	5
#35	11
#350	9
#351	3
#352	1
#353	11
#354	11
#355	4
#357	3
#359	3
#36	12
#360	1
#361	6
#362	6
#363	9
#364	10
#365	7
#366	4
#367	1
#368	8
#369	7
#37	20
#370	2
#371	4
#372	7
#373	7
#374	3
#375	6
#376	8
#379	1
#38	21
#380	2
#381	2
#383	4
#384	8
#385	7
#386	4
#387	7
#388	3
#389	14
#39	7
#390	1
#391	6
#392	2
#393	10
#394	16
#395	6
#396	4
#397	8
#398	10
#399	15
#4	97
#40	25
#400	1
#401	3
#402	1
#403	10
#404	7
#405	2
#406	1
#407	8
#408	22
#409	3
#41	13
#410	4
#411	9
#412	3
#413	3
#414	11
#415	5
#416	11
#417	7
#418	6
#419	21
#419419	1
#42	16
#420	4
#421	1
#4215532	1
#422	6
#423	4
#424	8
#425	20
#426	13
#427	16
#428	1
#429	5
#43	17
#430	8
#432	8
#434	5
#435	2
#436	2
#437	7
#438	6
#44	10
#440	5
#441	2
#442	2
#444	1
#445	11
#446	13
#447	5
#448	5
#449	3
#45	14
#450	10
#451	6
#452	10
#453	7
#454	1
#455	2
#456	3
#457	3
#458	2
#459	2
#46	25
#460	8
#461	2
#462	2
#463	12
#464	6
#466	1
#467	3
#468	9
#469	15
#47	5
#470	5
#471	9
#472	7
#474	1
#475	1
#476	2
#477	1
#48	12
#480	1
#486	1
#488	1
#49	9
#494	2
#497	2
#498	1
#5	81
#50	8
#500	1
#502	3
#503	1
#504	1
#506	1
#507	1
#51	13
#519	1
#52	13
#523	7
#53	4
#532	2
#533	4
#536	1
#54	2
#542	1
#543	2
#545	2
#55	8
#551	2
#555	2
#56	6
#560	12
#562	2
#563	1
#565	3
#57	7
#576	3
#577	2
#578	1
#58	5
#581	2
#582	9
#583	1
#586	7
#589	1
#59	1
#594	2
#599	2
#6	51
#60	10
#603	6
#61	6
#610	1
#611	1
#612	1
#614	1
#615	1
#616	5
#619	1
#62	4
#620	6
#621	1
#623	2
#624	2
#625	1
#626	3
#627	1
#628	5
#63	10
#631	1
#632	2
#634	3
#636	2
#638	1
#639	2
#64	4
#640	3
#645	1
#646	1
#647	2
#65	10
#651	2
#653	1
#656	1
#66	7
#662	3
#663	3
#664	2
#666	2
#667	2
#67	15
#671	1
#672	1
#68	6
#680	1
#685	1
#686	6
#687	1
#689	1
#69	2
#690	2
#693	4
#698	1
#7	63
#702	1
#703	1
#704	1
#708	1
#71	2
#713	6
#718	1
#72	9
#720	4
#721	18
#724	1
#727	1
#73	9
#74	15
#740	1
#741	1
#742	1
#746	2
#748	8
#75	4
#76	3
#762	1
#763	1
#764	1
#77	9
#771	3
#774	1
#776	1
#78	6
#781	1
#789	3
#79	11
#792	3
#795	2
#799	2
#8	62
#80	8
#800	1
#804	5
#806	4
#807	5
#81	2
#810	3
#811	4
#813	5
#815	1
#818	1
#82	10
#821	3
#824	5
#828	5
#829	1
#83	5
#830	4
#832	2
#838	1
#84	4
#842	1
#844	4
#85	4
#854	1
#854150	1
#855	1
#86	4
#863	1
#867	5
#87	5
#871	1
#879	3
#88	4
#882	2
#886	4
#887	4
#89	6
#895	2
#897	4
#898	1
#9	47
#90	8
#904	4
#906	1
#907	5
#91	2
#911	1
#915	1
#92	7
#923	1
#924	1
#927	1
#93	31
#934	1
#937	2
#94	7
#95	3
#96	7
#960	3
#962	1
#965	3
#967	5
#97	2
#970	1
#971	4
#975	3
#977	1
#979	1
#98	1
#981	3
#982	1
#984	1
#986	1
#987	1
#988	5
#99	10
#991	3
#996	5
#998	1
#b	2
#c	1
#esc	1
#g	3
#g5	2
#m	1
#n	2
#s	7
#sc	1
0	104
00000000000000	1
0000000000000000000000000	1
004	1
008	2
01	24
010	2
0100	1
012	1
013	2
015	1
0183	1
02	15
0209	2
03	7
034	2
036	2
037	1
04	16
040	1
05	2
052	1
06	4
07	12
072	1
08	7
086	1
09	1
0911137511001	1
096	1
1	2052
10	750
100	38
10008	1
1002	1
1003	2
1006	4
1007	2
1008	12
101	14
1010	1
1011	1
1012	2
102	24
1022	5
1027	1
1029	10
103	22
1031	3
1033	2
1036	4
1038	4
104	25
1044	2
105	10
106	18
107	19
108	16
109	5
11	412
110	11
111	36
111111111	1
112	28
113	13
1136	1
114	16
115	49
116	28
117	32
1176	1
118	13
119	15
1198	1
12	731
120	21
1209	1
121	10
122	13
123	18
124	22
125	11
126	49
127	12
128	22
129	27
13	511
130	17
1306	1
131	28
132	25
1321	1
